Nome Reduzido,Número Código
BCO DO BRASIL S.A.,1
BRB – BCO DE BRASILIA S.A.,70
AGK CC S.A.,272
CONF NAC COOP CENTRAIS UNICRED,136
CAIXA ECONOMICA FEDERAL,104
BANCO INTER,77
BCO RIBEIRAO PRETO S.A.,741
BCO CETELEM S.A.,739
BANCO SEMEAR,743
PLANNER CV S.A.,100
BCO B3 S.A.,96
BCO RABOBANK INTL BRASIL S.A.,747
BCO COOPERATIVO SICREDI S.A.,748
BCO BNP PARIBAS BRASIL S A,752
CCCM UNICRED CENTRAL RS,91
KIRTON BANK,399
PORTOCRED S.A. – CFI,108
BANCOOB,756
BCO KEB HANA DO BRASIL S.A.,757
XP INVESTIMENTOS CCTVM S/A,102
UNIPRIME NORTE DO PARANÁ – CC,84
CM CAPITAL MARKETS CCTVM LTDA,180
BCO MORGAN STANLEY S.A.,66
UBS BRASIL CCTVM S.A.,15
TREVISO CC S.A.,143
HIPERCARD BM S.A.,62
BCO. J.SAFRA S.A.,74
UNIPRIME CENTRAL CCC LTDA.,99
BCO ALFA S.A.,25
PI DTVM S.A.,315
BCO ABN AMRO S.A.,75
BCO CARGILL S.A.,40
TERRA INVESTIMENTOS DTVM,307
SERVICOOP,190
VISION S.A. CC,296
BANCO BRADESCARD,63
NOVA FUTURA CTVM LTDA.,191
GOLDMAN SACHS DO BRASIL BM S.A,64
CCC NOROESTE BRASILEIRO LTDA.,97
CCM DESP TRÂNS SC E RS,16
SOROCRED CFI S.A.,299
BANCO INBURSA,12
BCO DA AMAZONIA S.A.,3
CONFIDENCE CC S.A.,60
BCO DO EST. DO PA S.A.,37
CASA CREDITO S.A. SCM,159
ALBATROSS CCV S.A,172
COOP CENTRAL AILOS,85
CENTRAL COOPERATIVA DE CRÉDITO NO,114
BCO BBI S.A.,36
BCO BRADESCO FINANC. S.A.,394
BCO DO NORDESTE DO BRASIL S.A.,4
BCO CCB BRASIL S.A.,320
HS FINANCEIRA,189
LECCA CFI S.A.,105
BCO KDB BRASIL S.A.,76
BANCO TOPÁZIO S.A.,82
CCR DE OURO,286
PÓLOCRED SCMEPP LTDA.,93
CCR DE SÃO MIGUEL DO OESTE,273
PAGSEGURO,290
ICAP DO BRASIL CTVM LTDA.,157
SOCRED S.A. SCM,183
STATE STREET BR S.A. BCO COMERCIAL,14
CARUANA SCFI,130
CODEPE CVC S.A.,127
BCO ORIGINAL DO AGRO S/A,79
BANCOSEGURO S.A.,81
CRESOL CONFEDERAÇÃO,133
BCO AGIBANK S.A.,121
BCO DA CHINA BRASIL S.A.,83
GET MONEY CC LTDA,138
BCO BANDEPE S.A.,24
OM DTVM LTDA,319
TRAVELEX BANCO DE CÂMBIO S.A.,95
BANCO FINAXIS,94
STANDARD CHARTERED BI S.A.,118
SENFF S.A. – CFI,276
BRK S.A. CFI,92
BCO DO EST. DE SE S.A.,47
BEXS BCO DE CAMBIO S.A.,144
BR PARTNERS BI,126
BPP IP S.A.,301
BRL TRUST DTVM SA,173
BCO WESTERN UNION,119
CAMBIONET CC LTDA,309
PARANA BCO S.A.,254
BARIGUI CH,268
BCO BOCOM BBM S.A.,107
BCO CAPITAL S.A.,412
BCO WOORI BANK DO BRASIL S.A.,124
FACTA S.A. CFI,149
STONE PAGAMENTOS S.A.,197
BROKER BRASIL CC LTDA.,142
BCO MERCANTIL DO BRASIL S.A.,389
BCO ITAÚ BBA S.A.,184
BCO TRIANGULO S.A.,634
SENSO CCVM S.A.,545
ICBC DO BRASIL BM S.A.,132
VIPS CC LTDA.,298
NU PAGAMENTOS S.A. (Nubank),260
UBS BRASIL BI S.A.,129
MS BANK S.A. BCO DE CÂMBIO,128
PARMETAL DTVM LTDA,194
VORTX DTVM LTDA.,310
COMMERZBANK BRASIL S.A. – BCO MÚLTIPLO,163
AVISTA S.A. CFI,280
GUITTA CC LTDA,146
CCR DE PRIMAVERA DO LESTE,279
DACASA FINANCEIRA S/A – SCFI,182
GENIAL INVESTIMENTOS CVM S.A.,278
IB CCTVM LTDA,271
BCO BANESTES S.A.,21
BCO ABC BRASIL S.A.,246
BS2 DTVM S.A.,292
SCOTIABANK BRASIL,751
BANCO BTG PACTUAL S.A.,208
BCO MODAL S.A.,746
BCO CLASSICO S.A.,241
BCO C6 S.A.,336
BCO GUANABARA S.A.,612
BCO INDUSTRIAL DO BRASIL S.A.,604
BCO CREDIT SUISSE (BRL) S.A.,505
FAIR CC S.A.,196
BCO LA NACION ARGENTINA,300
CITIBANK N.A.,477
BCO CEDULA S.A.,266
BCO BRADESCO BERJ S.A.,122
BCO J.P. MORGAN S.A.,376
BCO CAIXA GERAL BRASIL S.A.,473
BCO CITIBANK S.A.,745
BCO RODOBENS S.A.,120
BCO FATOR S.A.,265
BNDES,7
ATIVA S.A. INVESTIMENTOS CCTVM,188
BGC LIQUIDEZ DTVM LTDA,134
BCO ALVORADA S.A.,641
BANCO ITAÚ CONSIGNADO S.A.,29
BCO MÁXIMA S.A.,243
HAITONG BI DO BRASIL S.A.,78
OLIVEIRA TRUST DTVM S.A.,111
PORTOPAR DTVM LTDA,306
BNY MELLON BCO S.A.,17
PERNAMBUCANAS FINANC S.A. CFI,174
BCO LA PROVINCIA B AIRES BCE,495
BRASIL PLURAL S.A. BCO.,125
JPMORGAN CHASE BANK,488
BCO ANDBANK S.A.,65
ING BANK N.V.,492
LEVYCAM CCV LTDA,145
BCV,250
BCO REP ORIENTAL URUGUAY BCE,494
BEXS CC S.A.,253
HSBC BANCO DE INVESTIMENTO,269
BCO ARBI S.A.,213
INTESA SANPAOLO BRASIL S.A. BM,139
BCO TRICURY S.A.,18
BCO SAFRA S.A.,422
BCO INTERCAP S.A.,630
BCO FIBRA S.A.,224
BCO LUSO BRASILEIRO S.A.,600
BANCO PAN,623
BCO BRADESCO CARTOES S.A.,204
BCO VOTORANTIM S.A.,655
BCO ITAUBANK S.A.,479
BCO MUFG BRASIL S.A.,456
BCO SUMITOMO MITSUI BRASIL S.A.,464
ITAÚ UNIBANCO S.A.,341
BCO BRADESCO S.A.,237
OMNI BANCO S.A.,613
ITAÚ UNIBANCO HOLDING S.A.,652
BCO SOFISA S.A.,637
BCO INDUSVAL S.A.,653
BCO CREFISA S.A.,69
BCO MIZUHO S.A.,370
BANCO INVESTCRED UNIBANCO S.A.,249
BCO BMG S.A.,318
BCO FICSA S.A.,626
SAGITUR CC LTDA,270
BCO SOCIETE GENERALE BRASIL,366
MAGLIANO S.A. CCVM,113
TULLETT PREBON BRASIL CVC LTDA,131
C.SUISSE HEDGING-GRIFFO CV S/A,11
BCO PAULISTA S.A.,611
BOFA MERRILL LYNCH BM S.A.,755
CCR REG MOGIANA,89
BCO PINE S.A.,643
EASYNVEST – TÍTULO CV SA,140
